,"action,wealth","advice,greeting","opinion,wealth","religion,family and friends","relationships,opinion","relationships,wealth","relationships,advice","religion,conflict","family and friends,sex and party","career,advice",relationships,"emotion,adlib","existential,wealth","career,adlib","weather,conflict","relationships,emotion","greeting,conflict","weather,wealth","action,opinion","advice,sex and party","wealth,conflict","action,greeting",sex and party,"conflict,sex and party","career,wealth","existential,adlib","action,weather","opinion,weather","opinion,greeting","sex and party,family and friends","career,existential","wealth,greeting",adlib,"farewell,wealth","wealth,sex and party","weather,sex and party","greeting,sex and party","farewell,greeting",greeting,"emotion,existential","relationships,sex and party","adlib,family and friends","emotion,conflict","emotion,action",farewell,"action,sex and party","adlib,weather","emotion,family and friends","existential,sex and party",religion,"relationships,family and friends","existential,opinion","relationships,existential","action,emotion","family and friends,conflict","existential,greeting",career,"adlib,greeting","advice,family and friends","existential,religion","relationships,greeting","advice,weather","greeting,wealth",action,existential,emotion,"action,religion","religion,advice","existential,conflict","sex and party,conflict","action,existential","opinion,existential",weather,"career,greeting","greeting,family and friends","career,relationships",wealth,"relationships,adlib","opinion,advice","action,advice","advice,conflict","action,relationships","adlib,advice","conflict,family and friends","existential,family and friends","adlib,conflict","action,career","relationships,career","emotion,relationships","existential,weather","adlib,existential","emotion,advice","opinion,sex and party","religion,wealth","opinion,conflict","emotion,sex and party","existential,advice",family and friends,"emotion,religion","relationships,weather","action,conflict","career,sex and party","advice,wealth","opinion,family and friends","action,family and friends","religion,sex and party","adlib,wealth","emotion,greeting","adlib,religion","relationships,religion","opinion,religion",conflict,"wealth,family and friends",advice,"career,opinion","adlib,sex and party",opinion,"career,conflict","farewell,conflict","relationships,action","relationships,conflict","emotion,wealth","opinion,adlib","career,family and friends"
0,I'm waiting in my hotel room,"Hold up, hold up","""""What's the point of thinking…"""" well, sometimes I understand, but sometimes there is a point to thinking. And then you tweeted out that you want Mark Zuckerberg to give you $53 million. In hindsight, should of that have gone on Facebook?",So every blessing he was supposed to get i'll inherit,Cause they want gun talk or I don't wear enough,Yeah me we gon' cook this up (now gold is not a reality),In what type of ways would I want her?,"With all my heart and soul, oh, oh, oh",The Roc is still alive every time I rhyme,Graduated when I sat down,Yeah me we gon' cook this up (now gold is not a reality),Okay,2x I gota way with words I use words in ways,(Chorus -- Mos Def),"Into the wind, again again and deuces I must throw ya peace",You're so supersonic,Can they add that he just spazzed out at that show?,By rocky wrist's,I'm fine to just practice.,"Never going down, stay rising like Andre","And I ain't knocking a niggas hustle, it's all a game",I was always on my own,But every holiday nobody eatin' her food,You got the fattest ass,"And nothing works, I can't get away from you, no",I feel it's fadin',Until I stumbled outside and I made the news,Cuz shawty body arguably hotter than august asphault,Or anybody I know,More clarity… I have no agency representing me currently… William Morris was fired after Cara Lewis quit. I love Cara Lewis :-),The lyrics in my heart I can't restrain they real,Is it too much to ask you keep your diamonds up?,That's why I spit it in my songs so sweet,I need a 100 racks,"Yo, off the top of the dome, dome",You gonna be hot a little while,"I ask if you talkin' bout glasses, do my name get brought up?","(Na na na na, hey hey hey, goodbye)",Who knew I'd have to look at you through a glass?,Its ironic whats happening,All attracted to Hov' because they know dough,"Uh, listen up, listen up, listen up, world",I missed you so damn much,I'm on my wave like a cruise ship,Let's go!,Since I came in the door became one of y'alls leaders,D-I-P low rider,Coming through your stereo 'til I'm very old,But wait this shit is a slow vibe let me feel it,No one wants to fall out of heaven,Couldn't be jealous cause other brothers worship her,People talking this but when this hit the fan,"Ridin' in the lowrider, we got everything we want",And I'm back to tear it up,(take em backstage get acquainted that's what I suggest dawg),The name of the company is DONDA,Its more that just the music,"Po' up, po' up","And this is for my cousin locked down, know the answer's in us",Everything I do is righteous,My homies never see you,Fresh out the feds in this mothafucka,"Man, you got to hate it, man you got to hate it","I bake the cake, get two of them for one",(real is what you live to be),And have a reason to cover my face,Brought back the soul to change the game,"Father, son, holy spirit","Hit the freeway, go at least 'bout 80",Uh Oh! I can be your wake up reason daily,(It's time - your world),Already know I'm too fly,"Y'all niggas got jokes, hot jokes Bruce, Bruce, Bruce","What up, Jeezy? What it do?","You see them fo's crawlin, you see them screens fallin'","On parole, still keep me a calico ('co)",Yeah me we gon' cook this up (now gold is not a reality),"As I reminisce, ah baby",Say u never saw dis coming well u are not alone,The games in the nooses,Get away from me lonliness,I'mma go in Def Jam and turn the brights on,And my ego,Told you I ain't too good with writin' letters and all,And this is for everybody standin' with us,(The Game),*The song changes to: The Doors - Five to One*,For no gain (picture that),Every time I talk they say I'm too aggressive,You either hit the hall of fame or you fall to shame,"(K. West, J. Bhasker, J. Englishman, M. Jones, L. Menzies)",Becomes when you call her face,"hunger strike yourself, look like Celine","Mercy, mercy me, that Murcielago",We take turns doing our one twos and yes yes y'alls,Them elbows pokin wide on that candy 'llac,So if you ever see her give her Kanye's best,This is family business,Eye to eye so alive,We got falling twin towers,Shit you better learn the game,"I live and I learn, but I wait my turn",Such a huge ego,"Like a lion, I can not be truly tamed","I bake the cake, get two of them for one",Would I want her for her mind or her heavenly body?,"Per quanto ha sofferto (Aaah, se)",You hear that?,(Verse 1 -- Lupe Fiasco),Lately it's all about Zen in me,"Magnetic, to the fact the messiah is black",Now that you're gone it hit us,"Our mamas passing, by trying to explain us","And this is for my cousin locked down, know the answer's in us","I'm Young H.O., rap's Grateful Dead",You a bitch!,And I just can't seem to get that nigga broke,I know that you can move like that I saw you dance,I need you,'Til I pictured everybody with they clothes off,Somebody please say grace so I can save face,"I ain't takin' 'em all, I'm takin' the closest","Aye...B, C, D, E, F","And tell em *ahem ahem ahem*, thank you for your no support"
1,try to play tough like the leather on a Vuiton,"But come, get some, you little bums",Just raised the gas prices,I guess I gotta give you part two of my confessions,"Yo, I'mma rise to the top cause it ain't in me to fail","Damn, here we go again",Couldn't be out gettin' bogus with someone so godly,"You can ask Ibn, we be straight mackin'",The Roc is still alive every time I rhyme,And what'd I do? Act more stupidly,Somebody please say grace so I can save face,Okay,I got a lot off days but it ain't often that I'm off the clock,Discography,"Into the wind, again, again, and deuces I must throw ya, peace",You're so supersonic,"I know, I know","It's bad enough, it's hard enough",Cause I got reservations at Mr. Chow's tonight,While you're in your little Lambo on Sunset,Walk around the mall with his radio face off,,"Fall back in the pussy like swoosh, swoosh, swoosh","Yeah, let me catch my breath",and we get the session pumpin,I feel it's fadin',Until I stumbled outside and I made the news,,,I gotta chick in every class that give a nigga glances,Excuse me but this verse,Is it too much to ask you keep your diamonds up?,"I even made you a plate, soul food, know how Granny do it",,now i dont like fake titties but ill f*ck lil kim,just a little bit,We makin' up again,Pass me the light friday night im on the come up,"Hold up, hold up","I may do it myself, I'm so Brooklyn!",Girl I come from chica' so in I 'go,"Uh, listen up, listen up, listen up, world",It seems apparent now. If I'm staring at you,"All star, I'm on another planet",Thank you,"In reality, your boy went to Mecca, came back","Yo Young, Jeezy, Jizzle, Snowman (amen, amen)",We reincarnated with their stars faded,I only fuck with real niggas and heavy hitters,No one wants to fall out of heaven,"I've been trending years, y'all a couple days","People talkin' shit, but when shit hit the fan",I know y'all been told I don't give a fuck about livin,,,Seen impossible view,Its an art form,Classic,So you can say I'm on my Brad Pitt,"Turn it into an empire, woah",My homies never see you,Fresh out the feds in this mothafucka,"Trash it, change it, mail - upgrade it",And I'm back to tear it up,"Yeah you heard the track I did man, this can't be life",I'm tryna,,,The way you bring your light into this room,Hope you can take the heat like LeBron,(It's time - your world),Already know I'm too fly,So wodie change the climate,,,,"And I don't care 'bout (all the, all the diamond rings, diamond rings)",Just got off…,my policys not to be dishonestly deprived,"'Til I pull out the chopper, start blastin'",I want to get right between your strip,"I got a hope, I got a chance",,I said ain't nobody fuckin' with my clique,He was with me when I was only imagining,It's Cons to the Quence and you won't won't forget 'em uh,,I mean my credit was so pathetic I couldn't get a debit,Every time I talk they say I'm too aggressive,When D12 rock his summer it's over with,,Be happy we ain't pop his brain,Pissing in the bushes like they never house trained us,"All in the paper, gettin' buried by a neighbor",I consider myself lucky; that's a big deal,"Bitch, I'm blown, I'm zooted","This is the start of a new life, I'd rather spend my birth in sleep",And this is for the family that can't be with us,Eye to eye so alive,You can't see through the fog,,Cause it take more than a magazine to kill my Vibe,When I'm out on parole,"The feat not divided, the love is divided","Peep, I stole your mom's jeep and crashed into my street","There we go, every beat I rock is proper burial, no worries",[Produced by DJ Premier],“Where the Dark Fantasy tour at Ye?”,Amen,Baby's body was immaculate,Treat everyday like it was the Sabbath/,Somebody please say grace so I can save face,"You said, you said, you said I didn't have to swear by my blood","Super hard on Thankgiving and Christmas, this can't be right",What would be the best thing to write?,I was in too deep like Mekhi Phif' (Eh!),And this was a test that was bigger than him,"With school boy fists, we can take this outside",I need you,,I guess everything I hate about me I see in him,When a broke nigga 'proaches,,But after all of that I done learned my lessons
2,I'm waiting in my hotel room,Move on,Fly like an eagle,But to give you part 2 of my confessions,Cause now I'm conscious of the fact of who they gon' go after,"Damn, here we go again",Told em if they got a plan,Mercy Mercy Oh me,The Roc is still alive every time I rhyme,Put my key in yo ignition and work the kitten,"And look, tell me you ain't did it, you ain't did it",,New York City,Chorus),,Why you worried 'bout this girl over here?,"I know, I know",,,"Carter Trey, on it, let's play, haha",And walked around the mall with his radio face off,,Woke up my dick crooked as the Nike sign,Tell these halftime niggas break's over,"We smokin' indo outdoor, in Palo Alto",I feel it's fadin',Especially when the world fall on bad times/,,,All incarcerated scarfaces gangstas with the fed cases,Excuse me but this verse,Took a trip we was heeming in a alcove/,As kids we used to laugh,,"Got my bag, got my strap",just a little bit,We makin' up again,,"Po' up, po' up","That's so novice, I'm so polished",She go through too much bullshit just to mess with these drunk and hot girls,"(Love to give...you, you)",And now I'm finna throw them deuces up,,Thank you for comin' out tonight,"I'ma put you to bed, to bed, to bed",,"Y'all forget that I got called """"nigga""""","This is Sinatra at the opera, bring a blonde",No one wants to fall out of heaven,"I've been trending years, y'all a couple days","People talkin' shit, but when shit hit the fan",But I've never never never never changed,,,Seen impossible view,Off from work today so it's alright,,So you can say I'm on my Brad Pitt,"Turn it into an empire, woah",My homies never see you,And enough ice,"300 bitches, where the Trojans?",Goodbye to the India.Arie award,When I brought it why had guard have to look all to it?,Every time I talk they say I'm too aggressive,,,The way you bring your light into this room,Only on TV I gotta take a quick pose,,Already know I'm too fly,You either hit the hall of fame or you fall to shame,,,,All these fancy things,,"Charge it, point it, zoom it, press it","Walking 'round, always mad reputation",you can have it your way like Carlito,,,That you treat the one that you humpin',You are not invited to the other side of sanity,"(Oh, here we go)",,"Maybe the chart, maybe the heart",,Better than I'v ever been,,,And parties at Richie is getting risky,,"Oh, now you sober, how'd I know you'd say that","Make a cat just pause and be """"Wow""""","Your shit make believe, rapping 'bout my own life","And this is for my cousin locked down, know the answer's in us",,Maybe cause it's flooded,,Or even a four-track recorder,Hoppin' out of cabs,Billie Jean is not my lover,"Put the CD on your toungue yeah, thats pure man.",Pure white like the powder was christian,[Produced by Hit-Boy],,,I got angels all around me they keep me surrounded,,Fuck how you feel ass nigga,"Can?t buy this, superflyness, like a shyness, your highness","Aw naw, don't open the photo book up",Probably worn when KRS-One teaches,And Im loving her vibe,One reason or another couldn't find peace at home,"With school boy fists, we can take this outside",,,Try to picture that shit and it'll blow you out the frame,,,Its no verse that would reverse the-
3,I ain't one of the Cosby's I ain't go to the Hill man,[Usher] Hold up,"Fake Gucci, that's that shit I don't like",I guess I gotta give you part two of my confessions,"But they're parallel to each other, homie, so they're quite the same","Damn, here we go again",Then yelling out swish way before it in the net,,The Roc is still alive every time I rhyme,'Cause my Dior got me more model head,"They don't mean a thing (all, all, all the things)",,"Excuse me, that's just the Henny, man",(How much I live),,Cause the one I rocked up is worse than upset,"The double cross you up, eyeball",,,Take your best shot or use your most talented bullet,Walk around the mall with his radio face off,,She used to get dick from Kanye West,Sometimes I wanna say fuck my bitch,And every get money nigga got a bread dance/,I feel it's fadin',,,,Cool Outrageous Lovers Of Uniquely Raw Style,This performance features a clear example of using symbolism to enrich the message of the song,,"Now, we gettin' it and we gon' make it",,I ain't got time for modelin',We hit the liquor store,We makin' up again,,"And when they mention the best, will they call your name?",This why I'm your majesty,She go through too much bullshit just to mess with these drunk and hot girls,"With nobody to love, nobody, nobody (Uh-huh, honey)",,,"Thank you, thank you, thank you!","I'ma put you to bed, to bed, to bed",,,I could have ate at Cheesecake at least six times a week,What if God was a her?,"As fate would have it, Jay's status appears","People talkin' shit, but when shit hit the fan","What a feeling, ah man, they gotta be",,,"On the radio, man I miss myself","[Meyers]: Fashion is obviously very important to you. You're designing again, in fashion. Tell me, what's the difference in how you approach fashion to how you approach music? Is it similar, is it completely different?",,My friends' best advice was to stay low,,See you jockin' over there,,Man this wasn't luck it was destined,Shit you better learn the game,Who knew that life would move this fast?,Every time I talk they say I'm too aggressive,,,The way you bring your light into this room,"I'm gonna put you to bed, bed, bed, oh",,Already know I'm too fly,Ever seen a watch surrounded by this much pink ice?,,,,I tell you that all (all the glitter) my weight in gold,,Thought you'd be different 'bout it,"Walking 'round, always mad reputation",You can call on Bath,,,,Wanna feel your powers,,,They still gonna annihilate the festivals,,"South, south, south side! All day, nigga",,,And parties at Richie is getting risky,,"Fuck G-Unit nigga I'm not (down, oooh well)",,a 50ft yaht with an anchor a young super model who shall remain nameless,Like a photo of your granny's picture,,For 40 days and for 40 nights,,Or even a four-track recorder,Became the seats on the wing of a Lear,Cause you beating me is like Def Leppard's drummer jump-roping (not happening),,"Through death grew conception, new breath and resurrection","Alessandra Ambrosio, Anja Rubik",,,,,And you can drive the Uber,"Put on your play clothes, how that logo feel?",So if you ever see her give her Kanye's best,Won't you please come to Chicago for a ride?,Uh.. killa.. Dip Set.. Santana.. Freeky.. Jim Jones,I think I think too much,I had to take him to that ghetto university,,,Vibe with me...,,,The product placement videos with no logos
4,Before the limelight stole ya,Move on,"These ain't conflict diamonds,is they Jacob?",I tell the truth like father forgive me these are all my confessions,And I don't know what he did for dough,"Damn, here we go again","If you're a five, you know you ridin' with them",,The Roc is still alive every time I rhyme,"When your pop, the slim nigga shady",Now all I know I know all these things,,But I'm in the Jeep with this freaky ass Aggy,,,Leaving you pissed whispering,Can you be way up?,,,"Yeah, Your pussy done changed",You need twenty G's just to take me shoe shoppin',,Would I want her for her mind or her heavenly body?,"I'll turn the plane 'round, your ass keep complaining","A subtle vocal sample from """"The Chamb"""" by The Mohawks in the background and the drums from """"Ain't No Sunshine"""" by Harlem Underground Band",I feel it's fadin',,,,Cool Outrageous Lovers Of Uniquely Raw Style,"On a scale of one to ten, what do you rate yourself",,And y'all gon' hate it and I'm his favorite,,And we a little late with the Christmas gifts,"It was a dream day, met her on spring break",I know you got up in a rump shaker contest,,It was a one night extravaganza When I woke up from last night's avoutrie,It's a dark knight when the joker's better than them banes,"With the girls a lot of flirtin' involved, but Dawg","With nobody to love, nobody, nobody (Uh-huh, honey)",,,End the night with a kiss and a bye bye,"I'ma put you to bed, to bed, to bed",,,Rock Forever 21 but just turned thirty,Would I want her for her mind or her heavenly body?,"You can call me daddy, I'mma put ya to bed","People talkin' shit, but when shit hit the fan","What a feeling, ah man, they gotta be",,,"On the radio, man I miss myself","He padded hisself the rap J.F.K., you wanna pass for my Jaqueline Onassis",,"Nigga down for like 12 years, ain't hug his son since second grade",,And we been hangin from the same tree ever since,,"300 bitches, where the Trojans?","Keep the receipt, keep the change, keep the game.""""",And this is for everybody standin' with us,Fuck with the Dogg I'm biting whomever,,,The way you bring your light into this room,Tell me that you like it raw,,"Too much goin' on, it's just not realistic",Or rock some mi-mink boots in the winter time like Will.I.Am,,,,"Ballin' money woos, woos, woos",,"If I don't get ran out by Catholics, here come some conservative Baptists",Lets play the blame game,If I'm gonna tell it then I gotta tell it all (all),,,,I can see a thousand years from now in real life,,,"Cause you do shit the broad way, nigga",,"South, south, south side! All day, nigga",,,Okay my white girl Veronica,,I ain't talkin bout the ones that be glown,,Thinkin' bout your own life,"Monkey bread on the side, know how the family do it",,,,,"And the dog is out, c'mon c'mon","Kanye West: Fusion is the future. Period. The mixing of ideas, the mixing of, know the two lunch tables working together, you know. Humanity period man, we're one people and maybe that's like incorrect English – I'm sorry mom – but you know I went to Louise Wilson's memorial, you know the greatest fashion instructor of all time. And I'm talking about of all timers.",,[Click here for the soundtrack to this post],"Yeah, Castro, woah, woah",,,,,We was winning,"Bought more jewelry, more Louis V, my mama couldn't get through to me",In what type of ways would I want her?,Got this muthafucka snackin more than Miggy Cabrera,"Woo woo! Swag, bitch, Brang-dang-dang-dang",I think I think too much,"Told him I've been on ten since the 10th grade, nigga",,,‘cause I brought the ghost with me,,,
5,That's the way I stay loose,[Usher] Hold up,What Gil Scott was hearin,,And I don't know what he did for dough,"Damn, here we go again",You sit and mull it over my venom a killer cobra,,I wanna get caught up in your love tonight,,"Abby, remember when they ain't believe in me?",,"Well, fuck it I'm rich then",,,"With lyrics so hard I even make Mystikal say """"danger""""",Can you be way up?,,,long for the shot on the tv screen,You just laid on the couch,,"The lies, the greed, the weed, the sex","I'll turn the plane 'round, your ass keep complaining",,I feel it's fadin',,,,And the 26 inch rim wheels looks so good with your 6-inch heels,,,"I can't deny it, I'm a straight rider",,And we a little late with the Christmas gifts,"And a main house, while rest drought/",Everybody fired up this evening,,"But come, get some, you little bums","""""When I'm alone in my room""""","Pluck ya ace, take ya girl, fuck her face","With nobody to love, nobody, nobody (Uh-huh, honey)",,,End the night with a kiss and a bye bye,"I'ma put you to bed, to bed, to bed",,,Rock Forever 21 but just turned thirty,"Walk this earth for her, glory, I'm grateful",Keep pictures of me in their Victoria Secret drawer,"And that don't make no sense, but baby I'm the shit","And y'all feeling it, but I expected it",,,So you know where my mind is,"Poppa making monster music, and still I Costra Nostra",,Your house got another house,,"Never gave up, never gave in",,"300 bitches, where's the Trojans?","I'm always on the run, got weight to burn",So if you ever see her give her Kanye's best,Its ironic whats happening,,,"What is you talking, man? That ain't important",Without you there,,It's in a black person's soul to rock that gold,I never rock a mink coat in the winter like Killa Cam,,,,The shoes you were wearing were so last week,,Not dressed to impress,,If I'm gonna tell it then I gotta tell it all (all),,,,"He never told, who we gon' tell, we top of the totem pole",,,"Cause you do shit the broad way, nigga",,,,,And all he seem to dream about is bad ass habits,,I ain't talkin bout the ones that be glown,,And don't I do what I do say?,"And if you did, then that's family business",,,,,"And we did it before, we can get it fa' sho",,,,"Yayo, yayo",,,,,I'm about to hit the ground,With that tiny shirt mane and the tiny pants mane,Couldn't be out gettin' bogus with someone so godly,Boniquan now my shorty looking fine: Puerto Rican,(feat. Charlie Wilson),I think I think too much,"Told him I've been on ten since the 10th grade, nigga",,,Why I keep calling you,,,
6,"Off, and I took a recess",Instead you stay up,We ain't sure man,,And I don't know what he did for dough,"Damn, here we go again",Waves Don't Die Baby,,I guess big brother was thinking a little different,,"Now she like """"See, that's my cousin on TV""""",,"Well, fuck it I'm rich then",,,My style so cold I could skate myself,"You the fuckin' best, you the fuckin' best",,,Sweet like my first kiss in the back of the flick,"I took a piss and dismiss it like """"fuck it""""",,"Wearin' her cross, I mean the heart on my neck","Let me catch my breath right quick, Let's go!",,I feel it's fadin',,,,"Let me get those jeans, and let me get that rock on your finger",,,But when we get together be electric slidin',,"Top floor penthouse, I'll show them where I stay (stay)",To purchase tickets to see her blow like Chicago wind,Everybody fired up this evening,,Look at shorty with my name tatted on her breast y'all,On that same vibe,"She a runway tall model, pretty white girl","I gotta live, I gotta love",,,End the night with a kiss and a bye bye,,,,"Just made a juug, I got bands everywhere",To be in her presence I try to stay faithful,"Cause, dreams of being Hova","Do it faster, makes us stronger",You don't see just how wild the crowd is?,,,"It?s performin?, look how long the line is",I'm from the 80's NYC 5 percent of culture,,"You're my downfall, you're my muse",,,,"300 bitches, where's the Trojans?","I'm ready for the game, I done laced my shoes",But he just can't seem to get Kanye fresh,And now I'm telling my story to you,,,"What is you talking, man? That ain't important",,,It's in a black person's soul to rock that gold,Make it hot like Crisco,,,,"Of cheating, stealing, never feeling",,That mean it wasn't even poppin' if it not for us,,"Feel the sweat, on your face",,,,Who you talkin to? son right there,,,,,,,,Make it hot like it's supposed to be {Oh oh oh oh oh} (comin' Brown Sugar),,The more that you appear,,My New York nigga said he heard it at son's house,This is family business,,,,,All the models to the floor right now,,,,Then I will have the qualm uh-uh uh-uh uh-uh,,,,,"And I ain't knocking a niggas hustle, it's all a game","That shit get get petty, bitch don't give no dap to me nigga",Wouldn't be ashamed to give her part of my check,Boniquan now my shorty looking fine: Puerto Rican,Partying fo' sho',Sound like stupid students,,,,Why I keep calling you,,,
7,I used to want a champagne two door Tahoe,"Lookin' at the mirror, wondering if it's the same dude","Don Cheadle time, get extra black on 'em",,And I know this much is true,"Damn, here we go again","Give her a kiss for me, her second son",,"And kept little brother at bay, at a distance",,But I bet them Polaroids'll send her down memory lane,,Make 'em feel it from to the ceilin to the ground floor,,,,"Yea, you know we good",,,Let her get off the phone and get off to homes,,,Through good and bad call on her like I'm chirpin' her,,,"Shit, shit, shit, shit",,,,,,,I got an Aunt Ruth that can't remember your name,,Ladies tired of gettin' ripped off by guys like this,,Everybody fired up this evening,,You see how I creeped up,I'm the only thing I'm afraid of,Yeah! They tried to put me in the box!,"I gotta live, I gotta love",,,I thank 'em,,,,"Then I'ma rock ya body, turn you over",Faithful to the end,Made my way through Hollywood fashion world adores me,"Do it faster, makes us stronger",You don't see just how wild the crowd is?,,,"Four in the morning, and I'm zonin'",Breeze through with that old school blue malaroma,,,,,,Red toupee on the coupe you been fired,"Back to take over the globe, now break bread","He said, """"I'm bad, not as bad as Eric Benet""""",And I'm back to tear it up,,,"The watered down one, the one you know",,,"[?] conventional thoughts, don't even question",Lookin' out the window at the snow flurries,,,,"Ha, ha, ha, look how far we are",,We can't even sit & talk,,"Feel the sweat, on your face",,,,I hope someone lifts you up like the big guy who lifted me up,,,,,,,,Make it hot like it's supposed to be {Oh oh oh oh oh} (Brown Sugar),,"Oh, I thought, I thought that I failed you so",,My New York nigga said he heard it at son's house,And this is for everybody standin' with us,,,,,"It ain't ninety-fo' Joe, we can't go back",,,,"We touchin', we touchin'",,,,,One hit of the bong will blow ya face back,"Look, I feel like every great rapper has one of these man",Even if they don't try some ladies test men,"Grab your hand, white dress, you gon' hop in too",I was in too deep like Mekhi Phif' (Eh!),"Nike, Nike treat employees just like slaves",,,,Why I keep calling you,,,
8,"‘Cause mami's a rider, and I'm a roller",It's going down,"I state the stats to stunt, I don't need to front",,"I don't know how to put this, but I'm kind of a big deal","Damn, here we go again",Baby it seems the time is never right,,Like the first time you heard Mary J and you were standing in line,,"You know that one auntie, you don't wanna be rude",,"Some nights sober, some nights gone off the Henny as usual",,,,,,,"Look at how she switch, make the other cheek move",,,Fuckin' with a real ass nigga,,,Why is y'all,,,,,,,Uh uh uh uh uh uh uh,,Some of 'em mix and match to make it look like they get more,,Everybody fired up this evening,,"But hey, hey here we again yeah",I'm the only thing I'm afraid of,And every time I try and break it off,,,,Listen!,,,,"Then I'ma rock ya body, turn you over",Faithful to the end,"Got your focus man, now they got a problem","Do it faster, makes us stronger",You don't see just how wild the crowd is?,,,Now he won't even step to his idol to say hi,"You see, we the next generation of this rap game",,,,,,"Man, but the body look grown, """"whooa!""""",I'm fine to just practice.,I feel it's fadin',That’s captivated,,,"I fuck up your kinship, I lie in this shit",,,"That?s so novice, I?m so polished, I got a right to be a little bit snobbish","The rain and the pain, I done paid my dues",,,,Murkin Stevie Soto,,We can't even sit & talk,,"Astronaut, take off",,,,"Tony Williams in this bitch, who you is",,,,,,,,"And he was all like, the Takeover",,"Oh, you was watching? Who the fuck wasn't?",,"She says I am the one, but the kid is not my son","Come on, let's take a family Grammy picture",,,,,Ain't nothing left to do except get tore up from the floor up,,,,"We touchin', we touchin'",,,,,I'm about to hit the ground,With the Ray Beons,Fade away,"For clippers, I hate you niggas too",,"Nike, Nike treat employees just like slaves",,,,And you say Chi city,,,
9,,,My Answers cost three-hundred-fifty ya naw mean,,"Aiyo, I thought we was iller than that, all them kisses","Damn, here we go again","That mean I'm good, if you is I'm gooder",,,,I could,,"Yeah, I'd rather do nothing with you",,,,,,,"Shorty mad, pulling her hair out",,,Dirt and grime and filth inside,,,'Cause its ne-never over,,,,,,,Uh uhh,,"When I die, bury me inside the jewelry store",,,,You see how I creeped up?,"Man I promise, I'm so self conscious",This girl that had my love,,,,"(Na na na na, hey hey hey, goodbye)",,,,"Then I'ma rock ya body, turn you over",Faithful to the end,"I said I got my SAG card, baby I'm an actor","Do it faster, makes us stronger","This time around I ain't takin no shit, this time around I never get bit",,,"Out west, Southwest, where you fly from","I just messed up on my rap, live TV like damn",,,,,,,"Quence without the game, now he's back to ball",I feel it's fadin',I missed you so damn much,,,My block behind me like I'm coming out the driveway,,,I'm leavin' you haters like when Shaq left the Lakers just to Heat it up,Flow is just the nicest,,,,Every dollar spent,,,,"Astronaut, take off",,,,Y'all remind me of us in early '92,,,,,,,,They see a black man with a white woman at the top floor they gone come to kill King Kong,,"Walking that walk, talk that slick talk",,Its the hard knock life tour,"Grandma, get 'em shook up",,,,,In my Cadillac pick-up truck,,,,,,,,,I'm about to hit the ground,Man my daughter couldn't have a better mother,"Hold up, hold up",,,"With this pretty little thing from Memphis, Tennessee",,,,And you say Chi city,,,
